TimeStamp, Time Delta, Input Current, Output Voltage 
0, 0, 0, 3.8962, 
0, 0.9527206420898438, 4.9974, 3.917647, 
0, 0.9696614742279053, 4.9977, 3.929156, 
0, 0.9828343391418457, 4.9977, 3.929674, 
0, 0.9670226573944092, 4.9977, 3.930147, 
0, 0.9703924655914307, 4.9977, 3.930517, 
0, 0.9535863399505615, 4.9977, 3.930872, 
0, 0.9670042991638184, 4.9976, 3.931168, 
0, 0.965998649597168, 4.9976, 3.931375, 
0, 0.9539995193481445, 4.9976, 3.931671, 
0, 0.9680221080780029, 4.9976, 3.931892, 
0, 0.9679994583129883, 4.9976, 3.9321, 
0, 0.9689791202545166, 4.9976, 3.932307, 
0, 0.9590766429901123, 4.9976, 3.932528, 
0, 0.9686636924743652, 4.9976, 3.932751, 
0, 0.9662783145904541, 4.9976, 3.932884, 
0, 0.9551188945770264, 4.9976, 3.933136, 
0, 0.9539422988891602, 4.9976, 3.933313, 
0, 0.9674043655395508, 4.9976, 3.93349, 
0, 0.9815175533294678, 4.9976, 3.933668, 
0, 0.952998161315918, 4.9976, 3.933801, 
0, 0.963001012802124, 4.9976, 3.933964, 
0, 0.9655196666717529, 4.9977, 3.934112, 
0, 0.9657137393951416, 4.9977, 3.934259, 
0, 0.9677612781524658, 4.9977, 3.934407, 
0, 0.9540152549743652, 4.9977, 3.93457, 
0, 0.9531772136688232, 4.9977, 3.934703, 
0, 0.9638321399688721, 4.9977, 3.934836, 
0, 0.9709997177124023, 4.9977, 3.934985, 
0, 0.966900110244751, 4.9977, 3.935102, 
0, 0.9840981960296631, 4.9977, 3.935236, 
0, 0.964226245880127, 4.9977, 3.935384, 
0, 0.962601900100708, 4.9977, 3.935487, 
0, 0.9535903930664062, 4.9977, 3.935606, 
0, 0.9630873203277588, 4.9977, 3.935739, 
0, 0.9684765338897705, 4.9977, 3.935857, 
0, 0.9660177230834961, 4.9977, 3.935946, 
0, 0.9793498516082764, 4.9977, 3.936094, 
0, 0.9651081562042236, 4.9977, 3.936213, 
0, 0.9834434986114502, 4.9977, 3.936301, 
0, 0.9675967693328857, 4.9977, 3.936405, 
0, 0.9675054550170898, 4.9977, 3.936523, 
0, 0.9979965686798096, 4.9978, 3.936626, 
0, 0.9569010734558105, 4.9977, 3.936745, 
0, 0.9563980102539062, 4.9977, 3.936833, 
0, 0.9690589904785156, 4.9977, 3.936922, 
0, 0.963623046875, 4.9978, 3.936996, 
0, 0.9881527423858643, 4.9977, 3.937114, 
0, 0.965994119644165, 4.9978, 3.937218, 
0, 0.9688737392425537, 4.9978, 3.937322, 
0, 0.9839985370635986, 4.9978, 3.937411, 
0, 0.9660007953643799, 4.9978, 3.937469, 
0, 0.9608733654022217, 4.9977, 3.937573, 
0, 0.9677379131317139, 4.9977, 3.937706, 
0, 0.9677400588989258, 4.9977, 3.937766, 
0, 0.9666304588317871, 4.9978, 3.93784, 
0, 0.9716651439666748, 4.9977, 3.937943, 
0, 0.9677791595458984, 4.9978, 3.937973, 
0, 0.9538719654083252, 4.9977, 3.938062, 
0, 0.968576192855835, 4.9977, 3.938165, 
0, 0.9661035537719727, 4.9978, 3.938269, 
0, 0.9522736072540283, 4.9977, 3.938328, 
0, 0.9668741226196289, 4.9977, 3.938387, 
0, 0.9628133773803711, 4.9977, 3.938446, 
0, 0.9649603366851807, 4.9977, 3.93852, 
0, 0.9684398174285889, 4.9978, 3.938579, 
0, 0.9526386260986328, 4.9978, 3.938653, 
0, 0.9534528255462646, 4.9977, 3.938757, 
0, 0.9527037143707275, 4.9977, 3.938801, 
0, 0.9689068794250488, 4.9978, 3.93889, 
0, 0.9683871269226074, 4.9978, 3.938963, 
0, 0.9537558555603027, 4.9978, 3.939067, 
0, 0.9840328693389893, 4.9978, 3.939112, 
0, 0.9797830581665039, 4.9978, 3.9392, 
0, 0.9669797420501709, 4.9978, 3.939245, 
0, 0.9603190422058105, 4.9978, 3.939319, 
0, 0.9678919315338135, 4.9978, 3.939378, 
0, 0.9825584888458252, 4.9978, 3.939437, 
0, 0.9682323932647705, 4.9978, 3.939481, 
0, 0.9670207500457764, 4.9978, 3.939585, 
0, 0.9531247615814209, 4.9978, 3.939615, 
0, 0.9678733348846436, 4.9978, 3.939703, 
0, 0.9679787158966064, 4.9978, 3.939777, 
0, 0.9810256958007812, 4.9978, 3.939851, 
0, 0.9651038646697998, 4.9978, 3.939896, 
0, 0.9666478633880615, 4.9978, 3.939955, 
0, 0.9676980972290039, 4.9978, 3.939984, 
0, 0.9688165187835693, 4.9978, 3.940073, 
0, 0.9817085266113281, 4.9978, 3.940147, 
0, 0.9726371765136719, 4.9978, 3.940162, 
0, 0.9536359310150146, 4.9978, 3.940251, 
0, 0.9658017158508301, 4.9978, 3.940295, 
0, 0.9689478874206543, 4.9978, 3.940369, 
0, 0.9859683513641357, 4.9978, 3.940413, 
0, 0.9688010215759277, 4.9978, 3.940458, 
0, 0.9679875373840332, 4.9978, 3.940487, 
0, 0.9850156307220459, 4.9978, 3.940576, 
0, 0.9672019481658936, 4.9978, 3.940636, 
0, 0.9660239219665527, 4.9978, 3.94068, 
0, 0.9859969615936279, 4.9978, 3.940724, 
