TimeStamp, Time Delta, Input Current, Output Voltage 
0, 0, 0, 4.193567, 
0, 0.9536070823669434, 14.70106, 4.088581, 
0, 0.9549527168273926, 14.701036, 4.086185, 
0, 0.953326940536499, 14.701101, 4.083018, 
0, 0.9666392803192139, 14.701084, 4.08182, 
0, 0.955970287322998, 14.701084, 4.07975, 
0, 0.9523434638977051, 14.70102, 4.078832, 
0, 0.972123384475708, 14.701084, 4.077116, 
0, 0.9596951007843018, 14.701013, 4.076362, 
0, 0.9540035724639893, 14.701029, 4.074971, 
0, 0.9580488204956055, 14.701053, 4.074306, 
0, 0.9758212566375732, 14.70102, 4.072959, 
0, 0.9625775814056396, 14.70106, 4.071776, 
0, 0.9655506610870361, 14.701029, 4.071184, 
0, 0.9542274475097656, 14.701101, 4.070075, 
0, 0.9545648097991943, 14.701101, 4.069542, 
0, 0.9523892402648926, 14.701036, 4.068492, 
0, 0.9540081024169922, 14.700996, 4.067989, 
0, 0.9573464393615723, 14.70098, 4.066998, 
0, 0.9646515846252441, 14.700956, 4.066525, 
0, 0.9534878730773926, 14.700956, 4.065607, 
0, 0.972257137298584, 14.700964, 4.065164, 
0, 0.9644749164581299, 14.70094, 4.064246, 
0, 0.9526686668395996, 14.700892, 4.063388, 
0, 0.9669055938720703, 14.700916, 4.062974, 
0, 0.9553461074829102, 14.700948, 4.06216, 
0, 0.9528603553771973, 14.700948, 4.061731, 
0, 0.9531433582305908, 14.700948, 4.060933, 
0, 0.9528841972351074, 14.700924, 4.060548, 
0, 0.959216833114624, 14.700948, 4.059764, 
0, 0.9607868194580078, 14.700972, 4.059394, 
0, 0.955949068069458, 14.701013, 4.058684, 
0, 0.9737274646759033, 14.700996, 4.058329, 
0, 0.9611046314239502, 14.70102, 4.057634, 
0, 0.9556014537811279, 14.70106, 4.056879, 
0, 0.9524550437927246, 14.701093, 4.056539, 
0, 0.9592134952545166, 14.701109, 4.055873, 
0, 0.9607000350952148, 14.701084, 4.055533, 
0, 0.9552385807037354, 14.701044, 4.054838, 
0, 0.9522981643676758, 14.700956, 4.054586, 
0, 0.9604144096374512, 14.700964, 4.054187, 
0, 0.9603176116943359, 14.70098, 4.05395, 
0, 0.9543702602386475, 14.700964, 4.053255, 
