outVTerm,outSOC
4.088581,1
4.086185,0.999920414998464
4.083018,0.999840965136527
4.08182,0.999760405923075
4.07975,0.999680735857935
4.078832,0.999601368395854
4.077116,0.999520352140034
4.076362,0.99944037203711
4.074971,0.999360866174423
4.074306,0.999281023053791
4.072959,0.999199698973204
4.071776,0.999119478390591
4.071184,0.999039010203129
4.070075,0.998959485293321
4.069542,0.998879932267908
4.068492,0.998800560904511
4.067989,0.998721054842768
4.066998,0.99864127065426
4.066525,0.998560877794247
4.065607,0.998481415304068
4.065164,0.998400388562743
4.064246,0.998320010513584
4.063388,0.998240616640651
4.062974,0.998160036153591
4.06216,0.998080418843835
4.061731,0.998001008693438
4.060933,0.997921574957936
4.060548,0.997842162950221
4.059764,0.997762223059163
4.059394,0.997682152196781
4.058684,0.997602484284786
4.058329,0.997521334831452
4.057634,0.997441237221461
4.056879,0.997361598024685
4.056539,0.997282220869468
4.055873,0.997202280381122
4.055533,0.997122216141251
4.054838,0.997042607272715
4.054586,0.9969632439314
4.054187,0.99688320414871
4.05395,0.996803172345946
4.053255,0.996723636275453
4.052915,0.996644247084511
4.05219,0.996562547164883
4.051642,0.996482697290965
4.051332,0.996402133612151
4.050785,0.996322752242845
4.050488,0.996243319271258
4.049912,0.996162770792724
4.04966,0.996083144081033
4.049098,0.996002612825866
4.048832,0.995923133771523
4.048299,0.995843798105005
4.048033,0.995763225684314
4.04753,0.995683543301945
4.046998,0.995603190902585
4.046761,0.99552079220408
4.046258,0.995440964414026
4.046021,0.995361490115473
4.045504,0.995280920960264
4.045267,0.995201360028179
4.044764,0.99512196733489
4.044557,0.995040568119918
4.044084,0.994959984882645
4.043595,0.994879758963185
4.043358,0.99479811138218
4.0429,0.994718288601964
4.042648,0.994638807625355
4.04219,0.99455883249244
4.041997,0.994478675620071
4.041524,0.994398103852359
4.041095,0.994317611331884
4.040888,0.994238171447562
4.040474,0.994158590982094
4.040267,0.994078808441986
4.039808,0.993998235121709
4.039645,0.993917653759698
4.039231,0.993836177152975
4.03901,0.993756392181917
4.03858,0.993676904510012
4.038388,0.993597559192192
4.037974,0.9935170500932
4.037604,0.993436702674704
4.037397,0.993356228773909
4.036983,0.993276834369252
4.03679,0.993197441682865
4.03645,0.99311685111296
4.036243,0.993036247397525
4.035873,0.992955482471942
4.035681,0.992875729192853
4.035326,0.992796274443632
4.035134,0.992714597681657
4.034779,0.992634784880992
4.034409,0.992554314760295
4.034246,0.992474807623668
4.033891,0.992395383053966
4.033728,0.992314922816161
4.033358,0.992232826603167
4.033181,0.992153120879317
4.03287,0.992072539074687
4.032678,0.991992014925186
4.032323,0.991912132900236
4.031997,0.99183281707242
4.03179,0.99175229311097
4.031465,0.991672833899734
4.031302,0.991593165017764
4.030992,0.991513667628813
4.030829,0.991434217263765
4.030518,0.991353648995902
4.03037,0.991273989071483
4.03006,0.991194588347677
4.029882,0.991112879283443
4.029571,0.991030709552388
4.029231,0.990950227881569
4.029083,0.990870432629052
4.028802,0.990789865312769
4.028625,0.990709399638407
4.028299,0.990629946690344
4.028152,0.990550505212118
4.027885,0.990470150469703
4.027722,0.99039016553923
4.027367,0.99031066392859
4.027086,0.990231367498359
4.026894,0.990150741618225
4.026672,0.990071139116745
4.026524,0.989991294190719
4.026213,0.9899108785563
4.02608,0.989831184880805
4.025843,0.989750459712384
4.025666,0.989670758462877
4.0254,0.98959068722297
4.025267,0.98950958170128
4.025015,0.989430113729911
4.024734,0.989349765135072
4.024586,0.989269906795995
4.024305,0.989189497585127
4.024172,0.989108900082768
4.023876,0.989027807120068
4.023743,0.988947235162536
4.023491,0.988867677369842
4.023299,0.98878693607468
4.023092,0.988706546222529
4.022826,0.988627178632353
4.022648,0.988544496102937
4.022412,0.988463978387034
4.022264,0.988384486569854
4.022012,0.988303941213746
4.021849,0.988224598280345
4.021642,0.988144902872349
4.021524,0.988064284835795
4.021272,0.987983659886716
4.021021,0.987901618141492
4.020903,0.987821811891781
4.020651,0.987741480355525
4.020518,0.987662053115773
4.020281,0.987582547619992
4.020133,0.987501150350576
4.019926,0.98742102584441
4.019808,0.987340063163287
4.019542,0.987259528856789
4.01929,0.987177386078916
4.019187,0.987097586371478
4.01898,0.9870171447073
4.018861,0.986936753510346
4.01861,0.986857017627709
4.018506,0.986777624934421
4.018255,0.986696994063391
4.018151,0.986617456279159
4.017929,0.986538012038563
4.017663,0.986458541100341
4.017574,0.986377959549237
4.017352,0.986298283602735
4.017204,0.986217694169585
4.016997,0.986138328109433
4.016864,0.986058931019849
4.016627,0.985979185377998
4.016539,0.985899016455975
4.016317,0.985819211982073
4.016228,0.985738301624964
4.016006,0.985657995531145
4.015814,0.985578279562022
4.015666,0.985498897080057
4.015488,0.985419202801027
4.01537,0.985338743172977
4.015119,0.985258300883705
4.015,0.985178624639091
4.014822,0.985099046003154
4.014719,0.985019679375631
4.014512,0.984940225111894
4.014394,0.984859227972519
4.014172,0.984778735048834
4.01395,0.984699352308792
4.013861,0.984619929034622
4.013654,0.984540486493924
4.01355,0.984461006817061
4.013329,0.984380490577255
4.013225,0.984297678899954
4.013048,0.984217739730039
4.012929,0.984136565647378
4.012737,0.984056121363372
4.012515,0.983976613017892
4.012412,0.983897238702546
4.012204,0.983817468923072
4.012115,0.983737183513442
4.011923,0.983657781012406
4.011849,0.98357813171814
4.011642,0.983497831776001
4.011569,0.983418259738101
4.011376,0.983337835770277
4.011109,0.983257239690408
4.011036,0.983176963331986
4.010843,0.98309481008338
4.010769,0.983014653121768
4.010577,0.982934961584771
4.010489,0.982855576262467
