TimeStamp, Time Delta, Input Current, Output Voltage 
0,0,0,4.193567
0,0.953607082,14.70106,4.088581
0,0.954952717,14.701036,4.086185
0,0.953326941,14.701101,4.083018
0,0.96663928,14.701084,4.08182
0,0.955970287,14.701084,4.07975
0,0.952343464,14.70102,4.078832
0,0.972123384,14.701084,4.077116
0,0.959695101,14.701013,4.076362
0,0.954003572,14.701029,4.074971
0,0.95804882,14.701053,4.074306
0,0.975821257,14.70102,4.072959
0,0.962577581,14.70106,4.071776
0,0.965550661,14.701029,4.071184
0,0.954227448,14.701101,4.070075
0,0.95456481,14.701101,4.069542
0,0.95238924,14.701036,4.068492
0,0.954008102,14.700996,4.067989
0,0.957346439,14.70098,4.066998
0,0.964651585,14.700956,4.066525
0,0.953487873,14.700956,4.065607
0,0.972257137,14.700964,4.065164
0,0.964474916,14.70094,4.064246
0,0.952668667,14.700892,4.063388
0,0.966905594,14.700916,4.062974
0,0.955346107,14.700948,4.06216
0,0.952860355,14.700948,4.061731
0,0.953143358,14.700948,4.060933
0,0.952884197,14.700924,4.060548
0,0.959216833,14.700948,4.059764
0,0.960786819,14.700972,4.059394
0,0.955949068,14.701013,4.058684
0,0.973727465,14.700996,4.058329
0,0.961104631,14.70102,4.057634
0,0.955601454,14.70106,4.056879
0,0.952455044,14.701093,4.056539
0,0.959213495,14.701109,4.055873
0,0.960700035,14.701084,4.055533
0,0.955238581,14.701044,4.054838
0,0.952298164,14.700956,4.054586
0,0.96041441,14.700964,4.054187
0,0.960317612,14.70098,4.05395
0,0.95437026,14.700964,4.053255
0,0.952606201,14.700989,4.052915
0,0.980332613,14.700996,4.05219
0,0.958132982,14.701005,4.051642
0,0.966698647,14.700996,4.051332
0,0.952511311,14.701005,4.050785
0,0.953127384,14.701053,4.050488
0,0.966516256,14.700996,4.049912
0,0.955458403,14.700956,4.04966
0,0.966311693,14.700964,4.049098
0,0.953687668,14.70094,4.048832
0,0.95196557,14.700964,4.048299
0,0.966806173,14.700956,4.048033
0,0.956126928,14.700948,4.04753
0,0.964159727,14.701053,4.046998
0,0.988715172,14.701029,4.046761
0,0.95786643,14.701029,4.046258
0,0.953622818,14.70106,4.046021
0,0.966762781,14.70102,4.045504
0,0.9546628,14.701053,4.045267
0,0.952641487,14.701093,4.044764
0,0.976719618,14.701068,4.044557
0,0.966928005,14.701077,4.044084
0,0.962640047,14.701084,4.043595
0,0.979700327,14.70106,4.043358
0,0.957801104,14.701109,4.0429
0,0.953703403,14.701053,4.042648
0,0.959632397,14.70106,4.04219
0,0.961811543,14.701084,4.041997
0,0.966793537,14.701029,4.041524
0,0.965838432,14.701093,4.041095
0,0.953209877,14.70106,4.040888
0,0.954894066,14.701101,4.040474
0,0.957320929,14.701068,4.040267
0,0.96681118,14.701044,4.039808
0,0.966903925,14.701101,4.039645
0,0.977646589,14.701093,4.039231
0,0.957352638,14.701029,4.03901
0,0.953788996,14.700972,4.03858
0,0.952076197,14.701044,4.038388
0,0.966041565,14.701029,4.037974
0,0.964103699,14.700996,4.037604
0,0.96561718,14.70106,4.037397
0,0.952664614,14.701053,4.036983
0,0.952642441,14.701077,4.03679
0,0.967013359,14.701117,4.03645
0,0.967172146,14.701101,4.036243
0,0.969108105,14.701077,4.035873
0,0.956972361,14.701029,4.035681
0,0.953390837,14.70102,4.035326
0,0.98005414,14.701005,4.035134
0,0.957689762,14.70098,4.034779
0,0.965577602,14.700972,4.034409
0,0.954021454,14.700989,4.034246
0,0.953031301,14.70098,4.033891
0,0.965457439,14.700996,4.033728
0,0.985086203,14.70102,4.033358
0,0.956402779,14.701013,4.033181
0,0.966912985,14.701044,4.03287
0,0.966228008,14.70094,4.032678
0,0.95851779,14.70102,4.032323
0,0.95172286,14.701036,4.031997
0,0.966219902,14.701029,4.03179
0,0.953446388,14.700989,4.031465
0,0.955963373,14.700972,4.031302
0,0.953900337,14.701053,4.030992
0,0.953337193,14.701036,4.030829
0,0.966746807,14.701101,4.030518
0,0.955847502,14.701101,4.03037
0,0.952742577,14.70102,4.03006
0,0.98044014,14.701029,4.029882
0,0.985968828,14.701013,4.029571
0,0.965713501,14.701013,4.029231
0,0.95747757,14.701005,4.029083
0,0.966742754,14.700989,4.028802
0,0.965521097,14.70102,4.028625
0,0.953368187,14.701036,4.028299
0,0.95323205,14.701013,4.028152
0,0.964190006,14.70102,4.027885
0,0.959755182,14.70098,4.027722
0,0.953952551,14.701029,4.027367
0,0.951491594,14.701013,4.027086
0,0.96744442,14.701005,4.026894
0,0.95516634,14.70098,4.026672
0,0.958075762,14.700972,4.026524
0,0.964924335,14.700964,4.026213
0,0.956261396,14.700964,4.02608
0,0.968635798,14.701005,4.025843
0,0.956349611,14.701005,4.025666
0,0.960791349,14.700972,4.0254
0,0.973200321,14.700996,4.025267
0,0.953548908,14.701029,4.025015
0,0.964112043,14.701084,4.024734
0,0.958230972,14.70106,4.024586
0,0.964838266,14.701101,4.024305
0,0.967098713,14.701084,4.024172
0,0.973043203,14.701093,4.023876
0,0.966793776,14.70106,4.023743
0,0.95462513,14.701053,4.023491
0,0.968827724,14.701029,4.023299
0,0.964608669,14.70106,4.023092
0,0.952344418,14.701029,4.022826
0,0.992123604,14.700989,4.022648
0,0.966150284,14.700948,4.022412
0,0.953837633,14.700989,4.022264
0,0.966474056,14.701068,4.022012
0,0.952047586,14.701044,4.021849
0,0.95627594,14.70106,4.021642
0,0.967347145,14.701053,4.021524
0,0.967432261,14.70102,4.021272
0,0.984431028,14.701044,4.021021
0,0.957607508,14.701036,4.020903
0,0.963906765,14.701093,4.020651
0,0.953057051,14.701077,4.020518
0,0.953997612,14.701053,4.020281
0,0.976698399,14.701036,4.020133
0,0.961423635,14.701077,4.019926
0,0.971483707,14.701036,4.019808
0,0.966339827,14.701093,4.019542
0,0.985637903,14.701125,4.01929
0,0.957526922,14.701068,4.019187
